title,company,job_category,job_area,salary_min,salary_max
Executive Director (Planning & Development),নর্থ-ওয়েস্ট পাওয়ার জেনারেশন কোম্পানি লিমিটেড,Top Management,ঢাকা,,
"Developer, Trilogy (Remote)",Crossover,IT/Software,,,
Frontdesk Executive,J`adoube Collection,Admin/General Management,Anywhere in Bangladesh,20000.00,25000.00
"Software Quality Assurance Engineer, Virtasant (Remote)",Crossover,IT/Software,,,
"Senior Software Engineer, Trilogy (Remote)",Crossover,IT/Software,,,
"Consultant, IgniteTech (Remote)",Crossover,Consultancy,,,
"Group Product Manager, Trilogy (Remote)",Crossover,Production/Operation,,,
"Senior Test Engineer, Upland (Remote)",Crossover,Engineer,,,
"User Experience Lead, Upland (Remote)",Crossover,IT/Software,,,
"Test Architect, Upland (Remote)",Crossover,Architect,,,
"Senior Test Specialist, Upland (Remote)",Crossover,Others,,,
"Principal Product Manager, Trilogy (Remote)",Crossover,Production/Operation,,,
Full-Time Teacher,Canadian Trillinium International School (Wari Branch),Education/Training,Dhaka,,
"Software Developer, Trilogy (Remote)",Crossover,IT/Software,,,
"Head of Product Management, Trilogy (Remote)",Crossover,Supply Chain/Procurement/Purchase,,,
"Senior Technical Support Engineer, IgniteTech (Remote)",Crossover,IT/Software,,,
"Software Tester, Virtasant (Remote)",Crossover,IT/Software,,,
chef,INTEGRITY,Restaurant/Kitchen/Food,Anywhere in Bangladesh,25000.00,35000.00
"Senior Content Manager, gt.school (Remote)",Crossover,Others,,,
"Director Of Finance And Operations, Trilogy (Remote)",Crossover,Top Management,Dhaka,,
Senior eCommerce Developer,Toptal,IT/Software,Narsingdi,,
সহকারী শিক্ষক (ইংরেজী),Sher E Bangla Balika Mahavidyalaya,Education/Training,Dhaka,,
সহকারী শিক্ষক (বাংলা),Sher E Bangla Balika Mahavidyalaya,Education/Training,Dhaka,,
"ক্রীড়া শিক্ষক, মাধ্যমিক শাখা",CMP School and College,Education/Training,Chattagram,,
কম্পিউটার অপারেটর,Investment Corporation of Bangladesh,Data Entry/Operator/BPO,Anywhere in Bangladesh,10200.00,24680.00
Mate NCV,Bashundhara Industrial Complex Limited,Others,Baridhara,,
Master NCV,Bashundhara Group,Admin/General Management,,,
ডাটা এন্ট্রি অপারেটর,Investment Corporation of Bangladesh,Marketing/Sales,Anywhere in Bangladesh,9300.00,22490.00
Visa Counselor,Ahmed and Associate,Consultancy,Dhaka,,
