title,company,job_category,job_area,salary_min,salary_max
Corporate Sales Officer,Fashol.com,Marketing/Sales,Dhaka,,
Manager Taxation,The British Council,Accounts/Finance,Dhaka,,
"Sr. Executive, HR",Quazi Enterprises Limited,HR/Human Resource,Banani,,
Manager,bkash Limited,Admin/General Management,,,
Manager/Sr. Manager,SUNMAN-BIRDEM Pharma Ltd,Admin/General Management,Dhaka,,
Management Trainee,Apex Husain Group,Admin/General Management,Lalbagb,,
Senior Copywriter,Grow Sup,Others,Mirpur,,
Compensation & Benefits Manager,Sheba Platform Limited,HR/Human Resource,Dhaka,50000.00,65000.00
Visualiser/Sr. Visualiser,Libanza,IT/Software,,,
"DevOps Engineer, RedDot, a subsidiary",Robi Axiata Limited,IT/Software,Dhaka,,
International Student Recruitment : Country Head,UniSearch,Top Management,Dhaka,,
Transportation TL (Feasibility & Master Planning) - Bangladesh,ewi Recruitment,Education/Training,,,
Software Engineering Team Lead,Time Doctor,IT/Software,Dhaka,,
Professional Digital Marketer,Digital Marketing Solution Pvt. Ltd.,Marketing/Sales,Dhaka,15000.00,25000.00
Sales Engineer,ABSA Engineering Limited,Marketing/Sales,Chattogram,,
DevOps Engineer,TallyKhata,IT/Software,Dhaka,,
Senior Site Engineer-Instrumentation & Control Works,AFRY,Engineer,Dhaka,,
Lead Generation Specialist,Abridge IT Firm,Others,,12000.00,16000.00
"Senior Manager, Product & Operations (Customer Engagement Solutions)",ADA Asia Bangladesh,Production/Operation,,,
Volunteer Website Design Consultant for Vimukti Sanstha,Taproot Foundation,Design/Creative,,,
International Consultant(Child Protection); Dhaka; Bangladesh (Not for Bangladeshi).,UNICEF,Education/Training,Dhaka,,
"Project Management Support - Officer, Mandatory Courses",UNOPS,Project Management,,,
Conservancy Supervisor,Melandah Corporation - মেলান্দহ পৌরসভা,Others,Jamalpur,9300.00,22490.00
Senior Staff Nurse,Orion Renal and General Hospital,Medical/Healthcare Professional,Cox's Bazar,,
Jeep Driver,Melandah Corporation - মেলান্দহ পৌরসভা,Special Skilled Jobs,Dhaka,9300.00,22490.00
Electric Helper,Melandah Corporation - মেলান্দহ পৌরসভা,Others,Jamalpur,8500.00,20570.00
গ্রাফিক্স ডিজাইনার,Alpha Printers,Marketing/Sales,ঢাকা,,
Office Support Staff,Melandah Corporation - মেলান্দহ পৌরসভা,Admin/General Management,Jamalpur,8250.00,20010.00
Content Writing Intern,BoostUp Ads,Others,"Dhaka, Dhaka, Bangladesh",,
পিজ্জা হেলপার,Slice,Marketing/Sales,"Mohammadpur , Dhaka, Dhaka, Bangladesh",,
Beautician,Four Queens Beauty Care,Marketing/Sales,"Badda, Dhaka",,
Counselor,Global Immigration Network,Consultancy,"Mirpur, Dhaka",,
Plumber,Shanta Gardeen,Others,Dhaka,,
হেল্পার (বাস),Southeast University,Marketing/Sales,ঢাকা,,
বাইকার (ডেলিভারী ম্যান),Sender Cloud,Marketing/Sales,ঢাকা,20.00,8000.00
Marketing Assistant,Labatt Food Service,Marketing/Sales,"New York, United states",,
Divisional Asst.Merchandiser / Divisional Merchandiser   - Marketing & Merchandising,South East Textiles (Pvt.) Ltd.  (A unit of Interstoff Group),Garments/Textile,"Mirzapur, Tangail",,
Russian Interpreter,National Electric BD Ltd.,Marketing/Sales,Anywhere in Bangladesh,,
Assistant Manager/Manager,TAS Group,Admin/General Management,,,
Paid Intern/ Junior Software Developer,Sales Connection,Others,Dhaka,,
Project Manager - Accounts,Startup Company,Project Management,Dhaka,12000.00,20000.00
Assistant Professor - Law,East West University,Education/Training,Dhaka,,
Lecturer - Law,East West University,Education/Training,Dhaka,,
Lecturer - English Literature,East West University,Education/Training,Dhaka,,
Assistant Professor - English Literature,East West University,Education/Training,Dhaka,,
Associate Professor - HRM,East West University,Education/Training,Dhaka,,
Assistant Professor - HRM,East West University,Education/Training,Dhaka,,
Assistant Professor - Marketing,East West University,Education/Training,Dhaka,,
Associate Professor - Marketing,East West University,Education/Training,Dhaka,,
Manager,Shanta Gardeen,Admin/General Management,Dhaka,,
Assistant Manager/Manager- Freight Forwarding,Total Air Services Ltd.,Admin/General Management,Anywhere in Bangladesh,,
Manager/Asst. Manager-Marketing,Jahurul Islam Medical College & Hospital,Admin/General Management,Kishoregonj,,
Commercial Officer,Blue Ocean Footwear Limited,Commercial/Logistics,Anywhere in Bangladesh,,
Customer Care Assistant,Jahurul Islam Medical College & Hospital,Customer Support/Call Center,Bajitpur,,
জোনাল ম্যানেজার (ZM),Nippon Group,Admin/General Management,,,
Bhandar Officer,Bangladesh Accreditation Council,Others,Anywhere in Bangladesh,16000.00,38640.00
Digital Marketing Expert / SEO Specialist,OurKaz Ltd.,Marketing/Sales,"Gulshan, Vatara, Dhaka",,
Assistant Professor - Physics,East West University,Education/Training,Dhaka,,
Assistant Professor - Mathematics,East West University,Education/Training,Dhaka,,
Lecturer - Biotechnology,East West University,Education/Training,Dhaka,,
Lecturer - Genetic Engineering,East West University,Education/Training,Dhaka,,
Professor - CSE,East West University,Education/Training,Dhaka,,
Lecturer - Genetic Engineering & Biotechnology,East West University,Education/Training,Dhaka,,
Associate Professor - CSE,East West University,Education/Training,Dhaka,,
Assistant Professor - CSE,East West University,Education/Training,Dhaka,,
Lecturer - CSE,East West University,Education/Training,Dhaka,,
Senior Lecturer - CSE,East West University,Education/Training,Dhaka,,
Lecturer - EEE,East West University,Education/Training,Dhaka,,
Senior Lecturer - EEE,East West University,Education/Training,Dhaka,,
Marketing Assistant,Hyatt,Marketing/Sales,"New York, United states",,
Assistant Professor - EEE,East West University,Education/Training,Dhaka,,
Assistant Professor - Sociology,East West University,Education/Training,Dhaka,,
Professor - Law,East West University,Education/Training,Dhaka,,
Receptionist/ Front Desk Executive,Shanta Gardeen,Security/Support Service,Dhaka,,
Managing Director (MD),Chittagong Stock Exchange,Top Management,Chattagram,,
ষ্টোর কিপার,Melandah Corporation - মেলান্দহ পৌরসভা,Supply Chain/Procurement/Purchase,Anywhere in Bangladesh,9700.00,23490.00
কোষাধ্যক্ষ,Melandah Corporation - মেলান্দহ পৌরসভা,Supply Chain/Procurement/Purchase,Anywhere in Bangladesh,10200.00,24680.00
সার্ভেয়ার,Melandah Corporation - মেলান্দহ পৌরসভা,Others,Anywhere in Bangladesh,9700.00,23490.00
সাঁট মুদ্রাক্ষরিক কাম কম্পিউটার অপারেটর,Ministry of Expatriates' Welfare and Overseas Employment,IT/Software,Anywhere in Bangladesh,11000.00,26590.00
কার্য সহকারী,Melandah Corporation - মেলান্দহ পৌরসভা,Admin/General Management,Anywhere in Bangladesh,9300.00,22490.00
কঞ্জারভেন্সী সুপারভাইজার,Melandah Corporation - মেলান্দহ পৌরসভা,Admin/General Management,Anywhere in Bangladesh,,
সহকারী এ্যাসেসর,Melandah Corporation - মেলান্দহ পৌরসভা,Admin/General Management,Anywhere in Bangladesh,9700.00,23490.00
সহকারী কর আদায়কারী,Melandah Corporation - মেলান্দহ পৌরসভা,Admin/General Management,Anywhere in Bangladesh,9700.00,23490.00
ট্রাক/ ট্রাক্টর চালক,Melandah Corporation - মেলান্দহ পৌরসভা,Marketing/Sales,Anywhere in Bangladesh,9300.00,23490.00
Trainer & Consultant,MDF Training & Consultancy,Education/Training,,,
জীপ চালক,Melandah Corporation - মেলান্দহ পৌরসভা,Special Skilled Jobs,Anywhere in Bangladesh,9300.00,22490.00
হিসাবরক্ষক,Bangladesh Accreditation Board,Accounts/Finance,ঢাকা,11000.00,26590.00
হিসাব সহকারী,Bangladesh Institute of Nuclear Agriculture (BINA) hemal,Accounts/Finance,ময়মনসিংহ,11000.00,26590.00
ড্রাফট্‌সম্যান (রাজস্ব),Bangladesh Institute of Nuclear Agriculture (BINA) hemal,Others,ময়মনসিংহ,9700.00,23490.00
ইনচার্জ (In-charge),Sender Cloud,Supply Chain/Procurement/Purchase,ঢাকা,,
অধ্যাপক - একাউন্টিং এন্ড ইনফরমেশন সিস্টেমস,Dhaka University,Education/Training,ঢাকা,,
ড্রাইভার / ট্রাক ড্রাইভার (রাজস্ব),Bangladesh Institute of Nuclear Agriculture (BINA) hemal,Marketing/Sales,ময়মনসিংহ,9700.00,23490.00
Officer/ Sr. Officer - Planning Department,M and U Cycles Ltd.,IT/Software,Gazipur,15000.00,25000.00
AGM/DGM Production (Lingerie),KC Lingerie Ltd.,Production/Operation,"Narayanganj Sadar, Narayanganj",,
Teacher,Jamuna Foundation Islamic International School,Education/Training,"Dhanmondi, Dhaka",,
Accounting Assistant,Los Angeles Community College District,Accounts/Finance,"New York, United states",,
বিদ্যুৎ হেলপার,Melandah Corporation - মেলান্দহ পৌরসভা,Special Skilled Jobs,Anywhere in Bangladesh,8500.00,20570.00
Electrician,Shanta Gardeen,Others,Dhaka,,
Staff Accountant,AvantStay,Accounts/Finance,"New York, United states",,
Graphic Designer,Innovi,Design/Creative,Dhaka,13000.00,16000.00
অফিস সহায়ক,Melandah Corporation - মেলান্দহ পৌরসভা,Admin/General Management,Anywhere in Bangladesh,8250.00,20010.00
CA Articled Students,"Islam and Co., Chartered Accountants",Others,Anywhere in Bangladesh,,
Manager/Sr. Manager - Investment Banking Department,BRAC EPL Investments Limited,Accounts/Finance,Anywhere in Bangladesh,,
Accounting Associate,RC Willey,Accounts/Finance,"New York, United states",,
সেলস অফিসার,Al-Manar Group,Marketing/Sales,ঢাকা,,
Office In-Charge (Chittagong),Harbis Converting Ltd,Admin/General Management,Chattogram,,
Sr. Manager/AGM- Supply Chain,HR Outsources,Supply Chain/Procurement/Purchase,Dhaka,120000.00,120000.00
"Sr. Officer,HR",Haychem (Bangladesh) Limited,HR/Human Resource,Anywhere in Bangladesh,,
"Officer, Corporate Service",Haychem (Bangladesh) Limited,Customer Support/Call Center,Dhaka,,
"Assistant Manager, Agri Machinery",Haychem (Bangladesh) Limited,Admin/General Management,Anywhere in Bangladesh,,
"Sr. Officer, Agri Machinery",Haychem (Bangladesh) Limited,Marketing/Sales,Anywhere in Bangladesh,,
"Sr. Officer, Seed Production",Haychem (Bangladesh) Limited,Production/Operation,Anywhere in Bangladesh,,
"Assistant Manager, Seed Production",Haychem (Bangladesh) Limited,Production/Operation,Anywhere in Bangladesh,,
"Deputy Manager, Seed Production",Haychem (Bangladesh) Limited,Admin/General Management,Anywhere in Bangladesh,,
"Deputy Manager, Fertilizer Business",Haychem (Bangladesh) Limited,Admin/General Management,Anywhere in Bangladesh,,
"Sr. Officer, Fertilizer Business",Haychem (Bangladesh) Limited,Marketing/Sales,Anywhere in Bangladesh,,
"Assistant Manager, Fertilizer Business",Haychem (Bangladesh) Limited,Marketing/Sales,Anywhere in Bangladesh,,
Office Assistant,Bangladesh Accreditation Council,Admin/General Management,Anywhere in Bangladesh,8250.00,20010.00
Office Assistant Cum Computer Typist,Bangladesh Accreditation Council,Admin/General Management,Anywhere in Bangladesh,9300.00,22490.00
Independent Distributor,HYTORC,Marketing/Sales,,,
English Transcription Project for English Speakers,Appen,Education/Training,Anywhere in Bangladesh,,
Senior Career Consultant,MAC- Migration & Admission Centre,Consultancy,Dhaka,,
District Sales Manager Eastern Cluster (Ref:MO/CTGN&S/HAT/PAT/DSM/030222),Robi Axiata Limited,Marketing/Sales,Hathazari,,
Head of Operation,HR Outsources,Top Management,Dhaka,,
Senior Full Stack JavaScript Developer (React/Redux/Node.js),ZAMORA INNOVATION PVT. LTD.,IT/Software,,,
Associate (Evening Shift),Quantanite,Marketing/Sales,Dhaka,,
Medical service Head,HR Outsources,Medical/Healthcare Professional,,,
পিক-আপ ড্রাইভার (PD),Nippon Group,Special Skilled Jobs,Uttara,,
Marketing Manager,BD Shrimp Trading Corporation,Marketing/Sales,Khulna,,
Associate Professor - Law,East West University,Education/Training,Dhaka,,
Customer Service Engineer,GE Healthcare,Customer Support/Call Center,,,
Full Stack Web Developer - PHP Laravel / Vue.js,Digital Planet,IT/Software,,,
Asst. Manager - Admin & Fire Safety,Silver Composite Textile Mills Ltd.,Admin/General Management,Gazipur,,
Customer Relationship Executive/ Customer Care,REL-TEX (BD),Customer Support/Call Center,Dhaka,,
Facebook Live Presenter,REL-TEX (BD),Marketing/Sales,Dhaka,,
Customer Service Representative (Work at Office & Work from Home),REL-TEX (BD),Customer Support/Call Center,"Savar, Chattogram, Dhaka, Gazipur, Narayanganj, Dhaka",,
"Specialist HR Operations, RedDot",Robi Axiata Limited,HR/Human Resource,Dhaka,,
"Software Developer / Senior Software Developer (Java), RedDot",Robi Axiata Limited,IT/Software,Dhaka,,
Software Engineer,Field Nation,IT/Software,Uttara,70000.00,100000.00
Business Development Representative,Uncommonly Good People,Marketing/Sales,,,
Commission Sales Person,"Forever Living Products Bangladesh, Limited",Marketing/Sales,"Chandpur Sadar Upazila, Chattogram",,
Asst. Manager - HR & Compliance,Apparel Promoters Ltd,HR/Human Resource,Chattogram,,
Sr. Software Engineer (Oracle form and reports ) and    IT Officer ( for Networking supporting),Memory Information Technology,IT/Software,Dhaka,,
Low to Mid-level Web Programmer,TeleCrest,IT/Software,,,
Assistant Accountant,Bangladesh Accreditation Council,Accounts/Finance,Anywhere in Bangladesh,10200.00,24680.00
Software Engineer (C++),Surbana Jurong Bangladesh,IT/Software,Gulshan Ave,40000.00,100000.00
Showroom Sales,MT MART,Marketing/Sales,"Mohoripotti,Jhalkathi",,
Sales Executive,Your Travel,Marketing/Sales,Banani 11,,
Territory Manager,Quazi Enterprises Limited,Marketing/Sales,Anywhere Bangladesh,,
Intern,Misfit Technologies Limited,Others,,,
Front-end Developer (VueJS),MBM Group,IT/Software,Dhaka,40000.00,80000.00
React Js Developer/Sr.,Gain Solutions Ltd,IT/Software,Mirpur 12,,
Software Engineer,Bitfountain,IT/Software,,50000.00,80000.00
Merchandiser (Knit),Raiyan Knit Composite Ltd,Garments/Textile,Kaliakair,,
বিক্রয় প্রতিনিধি,Dhonepata Restaurant,Marketing/Sales,ঢাকা,8000.00,12000.00
Regional Sales Manager (Lubricant),Vaspo Lubricant,Marketing/Sales,Anywhere in Bangladesh,,
Psychological Counsellor,PHWC Psychological Health and Wellness Clinic,Medical/Healthcare Professional,Banani,,
Restaurant Manager/ Accountant,Taste of Bengal,Admin/General Management,Dhaka,16000.00,18000.00
Sr. Merchandiser (Knit),Raiyan Knit Composite Ltd,Garments/Textile,Kaliakair,,
Operational Manager,Price and Accountants Ltd.,Production/Operation,Dhaka,35000.00,50000.00
মেডিকেল এসিস্টেন্ট,Sunamganj Adhunik Chakku Hospital,Medical/Healthcare Professional,সুনামগঞ্জ,,
Sr. Executive/ Executive (Sales & Marketing),Trend Energy Ltd.,Marketing/Sales,Anywhere in Bangladesh,,
Manager,Next Solution Lab,Admin/General Management,"Mirpur, Dhaka",15000.00,20000.00
Head of Quality Assurance,Raiyan Knit Composite Ltd,Compliance,Kaliakair,,
Head of Production,Raiyan Knit Composite Ltd,Production/Operation,Kaliakair,,
"Executive/ Sr. Executive, Client Service",I-Alo interior (a concern of I Alo communications),Customer Support/Call Center,Dhaka,,
"Executive (Payroll, IT cum ERP)",Raiyan Knit Composite Ltd,Data Entry/Operator/BPO,Kaliakair,,
Delivery Man,Authentic Innovation LTD,Delivery/Distribution,Dhaka,,
Business Development Representative,Varnel Limited,Marketing/Sales,Dhaka,12000.00,18000.00
Asst /Deputy Manager-,VIP Industries Bangladesh Private Limited,Admin/General Management,Mongla,,
Asst. Manager / Manager- Finance & Accounts,Quality Integrated Agro Limited,Accounts/Finance,Uttara,35000.00,55000.00
Assistant/ Area Manager (Sales & Marketing),Trend Energy Ltd.,Marketing/Sales,Anywhere in Bangladesh,,
General Manager (Finance & Accounts),Dhaka Mass Transit Company Limited (DMTC),Accounts/Finance,Dhaka,,
Senior Section Engineer (E&M),Dhaka Mass Transit Company Limited (DMTC),Engineer,Dhaka,,
Senior Section Engineer (OCS Monitoring),Dhaka Mass Transit Company Limited (DMTC),Engineer,Dhaka,,
Assistant Director of Programmes,UK Bangladesh Education Trust,Top Management,Sylhet,,
Senior Section Engineer (RS Wright),Dhaka Mass Transit Company Limited (DMTC),Engineer,Dhaka,,
Senior Section Engineer (RS Mechanical),Dhaka Mass Transit Company Limited (DMTC),Engineer,Dhaka,,
Senior Section Engineer (RS Inspection Monitoring),Dhaka Mass Transit Company Limited (DMTC),Engineer,Dhaka,,
Senior Section Engineer (RS Electrical),Dhaka Mass Transit Company Limited (DMTC),Engineer,Dhaka,,
Chief Traction Power Controller,Dhaka Mass Transit Company Limited (DMTC),Admin/General Management,Dhaka,,
Chief Driving Inspector,Dhaka Mass Transit Company Limited (DMTC),Special Skilled Jobs,Dhaka,,
Chief Deport Controller,Dhaka Mass Transit Company Limited (DMTC),Admin/General Management,Dhaka,,
Chief Crew Controller,Dhaka Mass Transit Company Limited (DMTC),Top Management,Dhaka,,
Chief Traffic Controller,Dhaka Mass Transit Company Limited (DMTC),Top Management,Dhaka,,
Manager (Permanent Way and Civil),Dhaka Mass Transit Company Limited (DMTC),Admin/General Management,Dhaka,,
Principal MRT Training Center,Dhaka Mass Transit Company Limited (DMTC),Customer Support/Call Center,Dhaka,,
General Manager (Electrical),Dhaka Mass Transit Company Limited (DMTC),Engineer,Dhaka,,
General Manager (Rolling Stock),Dhaka Mass Transit Company Limited (DMTC),Admin/General Management,Dhaka,,
General Manager (Store and Procurement),Dhaka Mass Transit Company Limited (DMTC),Supply Chain/Procurement/Purchase,Dhaka,,
Senior Project Manager (Accountability to Affected Populations / Communication & Community Engagement),BBC Media Action,Project Management,Cox's Bazar,,
"Social & Behavior Change Officer,",UNICEF,Others,,,
Assistant Engineering Officer (Mechanical),Essential Drugs Company Limited (EDCL),Engineer,Dhaka,,
"Deputy Manager, Engineering (Civil)",Essential Drugs Company Limited (EDCL),Engineer,Dhaka,,
"Deputy Manager, Engineering (Electrical)",Essential Drugs Company Limited (EDCL),Engineer,Dhaka,,
"Deputy Manager, Engineering (Mechanical)",Essential Drugs Company Limited (EDCL),Engineer,Dhaka,,
"Manager, Engineering (Civil)",Essential Drugs Company Limited (EDCL),Engineer,Dhaka,,
"Manager, Engineering (Mechanical)",Essential Drugs Company Limited (EDCL),Engineer,Dhaka,,
Junior Mechanics (ETP),Essential Drugs Company Limited (EDCL),Others,Dhaka,,
Manager – New Business Development,Save the Children,Admin/General Management,Dhaka,,
"Officer – Infrastructure, Shishuder Jonno",Save the Children,Admin/General Management,Barisal,,
M&E Specialist,Plan International Bangladesh,Others,Dhaka,,
Financial Analyst,Palli Karma-Sahayak Foundation(PKSF,Accounts/Finance,Anywhere in Bangladesh,,
"Marketing Officer, Animal Health",Haychem (Bangladesh) Limited,Medical/Healthcare Professional,Anywhere in Bangladesh,,
IT Specialist,Palli Karma-Sahayak Foundation(PKSF,IT/Software,Anywhere in Bangladesh,,
"Officer, Corporate Services",Haychem (Bangladesh) Limited,Customer Support/Call Center,Anywhere in Bangladesh,,
"Senior Officer, HR",Haychem (Bangladesh) Limited,HR/Human Resource,Anywhere in Bangladesh,,
Value Chain Project Manager,Palli Karma-Sahayak Foundation(PKSF,Project Management,Anywhere in Bangladesh,,
Publication Editor,Palli Karma-Sahayak Foundation(PKSF,Others,Anywhere in Bangladesh,,
"Coordinator (Training, Assessment & Procurement)",Skills for Employment Investment Program,Admin/General Management,Dhaka,,
Cashier,Rural Development and Co-operatives Division,Accounts/Finance,Dhaka,11000.00,26590.00
Senior Teacher (Hindu Religion),Birshreshtha Munshi Abdur Rouf Public College,Education/Training,Dhaka,16000.00,38640.00
"Lecturer (Finance, Banking & Insurance)",Birshreshtha Munshi Abdur Rouf Public College,Education/Training,Dhaka,22000.00,53060.00
Lecturer (Marketing),Birshreshtha Munshi Abdur Rouf Public College,Education/Training,Dhaka,22000.00,53060.00
Lecturer (Biology),Birshreshtha Munshi Abdur Rouf Public College,Education/Training,Dhaka,22000.00,53060.00
Lecturer (Chemistry),Birshreshtha Munshi Abdur Rouf Public College,Education/Training,Dhaka,22000.00,53060.00
Senior Staff Nurse,Birshreshtha Munshi Abdur Rouf Public College,Medical/Healthcare Professional,Dhaka,16000.00,38640.00
Office Assistant Cum Computer Typist,Ministry of Primary and Mass Education,Admin/General Management,Dhaka,9300.00,22490.00
Senior Data Entry Operator,Ministry of Primary and Mass Education,Data Entry/Operator/BPO,Dhaka,9300.00,22490.00
Steno Typist cum Computer Operator,Ministry of Primary and Mass Education,Data Entry/Operator/BPO,Dhaka,11000.00,26590.00
Computer Operator,Ministry of Primary and Mass Education,Data Entry/Operator/BPO,Dhaka,11000.00,26590.00
Senior Data Entry/Control Operator,Ministry of Primary and Mass Education,Data Entry/Operator/BPO,Dhaka,12500.00,30230.00
Office Assistant Cum Computer Typist,Rural Development and Co-operatives Division,Admin/General Management,Dhaka,9300.00,22490.00
Steno Typist cum Computer Operator,Rural Development and Co-operatives Division,Data Entry/Operator/BPO,Dhaka,11000.00,26590.00
Computer Operator,Rural Development and Co-operatives Division,Data Entry/Operator/BPO,Dhaka,11000.00,26590.00
Office Sohayok,Ministry of Primary and Mass Education,Admin/General Management,Dhaka,8250.00,20010.00
Office Sohayok,Rural Development and Co-operatives Division,Admin/General Management,Dhaka,8250.00,20010.00
গার্ড,Bangladesh Railway,Security/Support Service,ঢাকা,10200.00,24680.00
"Senior Officer/Assistant Manager/Deputy Manager, Seed Production",Haychem (Bangladesh) Limited,Production/Operation,Anywhere in Bangladesh,,
junior Graphic & UI/UX Designer,Techtsy,Design/Creative,,,
Regional Sponsorship Partnership,Plan International Bangladesh,Others,,,
General Manager (Signaling and Telecommunication),Dhaka Mass Transit Company Limited (DMTC),Admin/General Management,Dhaka,,
"Administrator, Seed Production Unit",Haychem (Bangladesh) Limited,Production/Operation,Anywhere in Bangladesh,,
"Senior Officer/Assistant Manager/Deputy Manager, Fertilizer Business",Haychem (Bangladesh) Limited,Admin/General Management,Anywhere in Bangladesh,,
Sector Value Chain Specialist (Agri-Business),Palli Karma-Sahayak Foundation(PKSF,Others,Anywhere in Bangladesh,,
Office Assistant Cum Computer Operator,"Chief Judicial Magistrate Court, Netrokona",Admin/General Management,Netrokona,9300.00,22490.00
Procurement Officer,Palli Karma-Sahayak Foundation(PKSF,Supply Chain/Procurement/Purchase,Anywhere in Bangladesh,,
Security Guard,"Chief Judicial Magistrate Court, Netrokona",Security/Support Service,Netrokona,8250.00,20010.00
Issuer,"Chief Judicial Magistrate Court, Netrokona",Others,Netrokona,8500.00,20570.00
Assistant Cook,"OFFICE OF DISTRICT COMMISSIONER, TANGAIL",Restaurant/Kitchen/Food,Tangail,8250.00,20010.00
Cook,"OFFICE OF DISTRICT COMMISSIONER, TANGAIL",Restaurant/Kitchen/Food,Tangail,8250.00,20010.00
Bearer,"OFFICE OF DISTRICT COMMISSIONER, TANGAIL",Restaurant/Kitchen/Food,Tangail,8250.00,20010.00
Security Guard,"OFFICE OF DISTRICT COMMISSIONER, TANGAIL",Security/Support Service,Tangail,8250.00,20010.00
Sweeper,"OFFICE OF DISTRICT COMMISSIONER, TANGAIL",Security/Support Service,Tangail,8250.00,20010.00
Office Sohayok,"OFFICE OF DISTRICT COMMISSIONER, TANGAIL",Admin/General Management,Tangail,8250.00,20010.00
Mali,"OFFICE OF DISTRICT COMMISSIONER, TANGAIL",Security/Support Service,Tangail,8250.00,20010.00
Office Sohayok,"Chief Judicial Magistrate Court, Netrokona",Admin/General Management,Netrokona,8250.00,20010.00
"Executive HR & Admin,",Bengal Communications Limited,HR/Human Resource,,,
Quality Assurance Automation Engineer,Titan Technologies,IT/Software,Gulahsn-1,,
Senior Java Software Engineer,Wowoni Private limited,IT/Software,Dhaka,,
Data Science Lead (HungryNaki),Daraz,IT/Software,Dhaka,,
Content Writer,TECHFORING LTD,Others,Dhaka,,
SQA Engineer,Shuttle,IT/Software,Dhaka,20000.00,40000.00
Excel Payroll Specialist,Noor Staffing Group,HR/Human Resource,Dhaka,,
Vmware Consultant,Cloud Kinetics,Consultancy,Dhaka,,
Support Services Assistant (Logistics),UNOPS,Commercial/Logistics,Dhaka,,
Project Management Support - Officer,UNOPS,Project Management,Dhaka,,
Full Stack Developer,Aiva,IT/Software,,40000.00,80000.00
Driver,UNOPS,Special Skilled Jobs,Dhaka,,
Copywriter/ Senior Copywriter,Asiatic Experiential Marketing Limited,Others,Dhaka,,
Java Developer,Brain Station 23,IT/Software,Dhaka,,
Mentor/Trainer – Accounts Management System (AMS),Coderstrust,Accounts/Finance,Dhaka,,
Legal Executive,Portonics Limited,Law/Legal,Dhaka,,
Frontend Developer,GoZayaan Limited,IT/Software,Gulshan,,
Senior Software Engineer,Field Nation,IT/Software,Uttara,100000.00,130000.00
Business Development Executive,Technology Aid,Marketing/Sales,Dhaka,,
Sr. Technical Sales & Service Officer -Sewing Machine Parts,Groz-Beckert Bangladesh,Marketing/Sales,Dhaka,,
Sr. Fullstack Developer,Venturas Ltd,IT/Software,Gulahsn-1,,
Unity Developer,Alienide Interactive,IT/Software,Dhaka,,
Entry Level Executive Assistant,Chowdhury Aktar and Associates,Others,Dhaka,5000.00,7000.00
Sr. Frontend Developer (React/Vue),Venturas Ltd,IT/Software,Gulshan,,
Django Developer,EWN Bangladesh Limited,IT/Software,Dhaka,30000.00,70000.00
iOS Developer,Royex Technologies,IT/Software,,,
iOS Developer,ZAAG SYSTEMS LTD.,IT/Software,Dhaka,,
Intern,Maya,Others,Banani,,
Web Developer,Penta Falcon,IT/Software,Dhaka,,
Telemarketer,Web Solutions,Marketing/Sales,,,
Social & Behavior Change Officer,UNICEF,Admin/General Management,Dhaka,,
Unreal Engine Game Developer – Full Time,Opus Technology Limited,IT/Software,Dhaka,,
Talent Acquisition Specialist (US Hours),Welcome,Others,Dhaka,,
Talent Acquisition Intern (US Hours),Welcome,Others,Dhaka,,
"Solutions Architect (Remote, APAC)",Grafana Labs,Architect,,,
Civil Engineering Team,Modern Engineering Solution,Engineer,,,
"Executive, Creative Client Services",ADA Asia Bangladesh,Customer Support/Call Center,Dhaka,,
Marketing Communications Analyst (Female),Lab AR,Marketing/Sales,Dhaka,8000.00,12000.00
People Operations Manager,Lalamove,Admin/General Management,Dhaka,,
Finance Lead / Manager,Lalamove,Accounts/Finance,Dhaka,,
Marketing Intern (Bangla Content),SHERASPACE LIMITED,Others,Dhaka,,
Head Of Construction,HR Outsources,Top Management,,250000.00,300000.00
Accounts Officer,Palli Karma-Sahayak Foundation(PKSF,Accounts/Finance,Dhaka,,
Program Manager,Palli Karma-Sahayak Foundation(PKSF,Admin/General Management,Dhaka,,
ঊর্ধ্বতন প্রকল্প কর্মকর্তা (প্রশিক্ষণ),Naripokkho,Top Management,Anywhere in Bangladesh,38000.00,44000.00
ঊর্ধ্বতন প্রকল্প কর্মকর্তা (পরিবীক্ষণ),Naripokkho,Top Management,Anywhere in Bangladesh,38000.00,44000.00
প্রকল্প কর্মকর্তা (লজিস্টিক),Naripokkho,Top Management,Anywhere in Bangladesh,28000.00,32000.00
ঊর্ধ্বতন প্রকল্প কর্মকর্তা (এ্যাডভোকেসী),Naripokkho,Top Management,anywhere in Bangladesh,38000.00,44000.00
হিসাব রক্ষণ কর্মকর্তা,Naripokkho,Accounts/Finance,anywhere in Bangladesh,35000.00,40000.00
Finance Controller,Renaissance Hotels,Accounts/Finance,Dhaka,,
Demi Chef de Partie,Renaissance Hotels,Restaurant/Kitchen/Food,Dhaka,,
Assistant Manager - Quality Assurance (Brand Technical Manager,Epyllion Group,Admin/General Management,Narayanganj,,
Senior Executive/ Executive,Epyllion Group,Admin/General Management,Narayanganj,,
"Sr. Officer - IYCF-E, Nutrition",Save the Children,Beauty Care/Health and Fitness,Cox's Bazar,,
Food & Beverage Associate,Renaissance Hotels,Restaurant/Kitchen/Food,Dhaka,,
